Group-Name,Group-ID,In/Out,Protocol,Port,Source/Destination
launch-wizard-20,sg-00d822a7d51790fd6
,,,tcp,8443,172.31.72.56/32
,,,tcp,389,172.21.1.95/32
,,,tcp,389,172.21.3.136/32
,,,udp,123,172.21.1.95/32
,,,udp,123,172.21.3.136/32
,,,tcp,443,172.21.8.167/32
,,,tcp,443,172.21.7.178/32
,,,tcp,443,172.21.8.222/32
,,,tcp,443,172.21.7.61/32
,,,tcp,443,172.21.8.73/32
,,,tcp,443,172.21.7.171/32
,,,tcp,443,172.21.1.226/32
,,,tcp,3268,172.21.1.95/32
,,,tcp,3268,172.21.3.136/32
,,,tcp,65535,172.21.1.95/32
,,,tcp,65535,172.21.3.136/32
,,,tcp,88,172.21.1.95/32
,,,tcp,88,172.21.3.136/32
,,,udp,137,172.21.1.95/32
,,,udp,137,172.21.3.136/32
,,,tcp,636,172.21.1.95/32
,,,tcp,636,172.21.3.136/32
,,,udp,88,172.21.1.95/32
,,,udp,88,172.21.3.136/32
launch-wizard-18,sg-091e891d999c89864
,,Inbound
,,,tcp,3389,47.185.231.169/32
,,,icmp,N/A,10.27.27.218/32
,,,icmp,N/A,10.27.27.39/32
,,Outbound
,,,All,All,0.0.0.0/0
Scan Target Security Group-Tenable.io,sg-094a7b340c2f93635
,,Inbound
,,,tcp,65535,sg-097e6690451de0167
,,,udp,65535,sg-097e6690451de0167
,,,icmp,N/A,sg-097e6690451de0167
,,Outbound
,,,All,All,0.0.0.0/0
Nessus Scanner -Pre-Authorized--7-1-1-AutogenByAWSMP-,sg-097e6690451de0167
,,Inbound
,,Outbound
,,,All,All,0.0.0.0/0
ManageEngine,sg-09bb07397a11eb0f8
,,Inbound
,,,tcp,8383,0.0.0.0/0
,,,tcp,8080,0.0.0.0/0
,,,tcp,8444,0.0.0.0/0
,,,tcp,8443,0.0.0.0/0
,,,tcp,8032,0.0.0.0/0
,,,tcp,143,0.0.0.0/0
,,,tcp,465,0.0.0.0/0
,,,tcp,3389,47.190.60.88/32
,,,tcp,3389,172.22.1.0/24
,,,tcp,3389,172.22.2.0/24
,,,tcp,3389,172.20.0.0/24
,,,tcp,3389,47.187.199.32/32
,,,tcp,3389,131.226.34.254/32
,,,tcp,3389,131.226.36.57/32
,,,tcp,8022,0.0.0.0/0
,,,tcp,22,131.226.36.57/32
,,,tcp,22,172.22.1.0/24
,,,tcp,22,172.22.2.0/24
,,,tcp,22,172.20.0.0/24
,,,tcp,22,131.226.34.254/32
,,,tcp,8021,0.0.0.0/0
,,,tcp,25,0.0.0.0/0
,,,tcp,8027,0.0.0.0/0
,,,tcp,8020,0.0.0.0/0
,,,tcp,8089,0.0.0.0/0
,,,tcp,8031,0.0.0.0/0
,,,tcp,8384,0.0.0.0/0
,,Outbound
,,,All,All,0.0.0.0/0
k8s-elb-adeb38443b78d11e8b7400e4f774caf8,sg-09f030236f6e400ea
,,Inbound
,,,tcp,80,0.0.0.0/0
,,,icmp,4,0.0.0.0/0
,,,tcp,443,0.0.0.0/0
,,Outbound
,,,All,All,0.0.0.0/0
episode-comparison-db,sg-0a358ee796c397087
,,Inbound
,,,tcp,5432,66.69.180.5/32
,,,tcp,5432,47.185.170.165/32
,,,tcp,5432,47.190.60.88/32
,,,tcp,5432,98.222.192.231/32
,,,tcp,5432,3.238.164.5/32
,,,tcp,5432,184.75.52.20/32
,,,tcp,5432,52.206.60.136/32
,,,tcp,5432,172.20.62.168/32
,,,tcp,5432,131.226.34.254/32
,,,tcp,5432,131.226.36.57/32
,,,tcp,5432,65.198.96.9/32
,,Outbound
,,,All,All,0.0.0.0/0
ipsec,sg-0a557676
,,Inbound
,,,tcp,4500,0.0.0.0/0
,,,All,All,172.31.80.0/20
